"celltype","sample","predicted_age"
"Oligo","RIPRSVZ",23.2839391823652
"Oligo","RIPRSVZ",33.1532232001056
"Oligo","RIPRSVZ",25.3051244452003
"Oligo","RIPRSVZ",20.7865633897745
"Oligo","RIPRSVZ",29.0902750221676
"Oligo","RIPRSVZ",31.1616700064381
"Oligo","RIPRSVZ",30.1031871373535
"Oligo","RIPRSVZ",35.8602323075203
"Oligo","RIPRSVZ",33.8164082816375
"Oligo","RIPRSVZ",15.792632051896
"Oligo","RIPRSVZ",16.9110123831987
"Oligo","RIPRSVZ",29.6245937635766
"Oligo","RIPRSVZ",34.3068664786629
"Oligo","RIPRSVZ",21.716373940694
"Oligo","RIPRSVZ",14.4547170873695
"Oligo","RIPRSVZ",11.0462161663904
"Oligo","RIPRSVZ",28.8129123402082
"Oligo","RIPRSVZ",12.5618944739266
"Oligo","RIPRSVZ",22.8767682660488
"Oligo","RIPRSVZ",37.5179781787539
"Oligo","RIPRSVZ",14.2955942929125
"Oligo","RIPRSVZ",26.1349072783389
"Oligo","RIPRSVZ",23.4217201655978
"Oligo","RIPRSVZ",8.6333711463732
"Oligo","RIPRSVZ",30.7015684643702
"Oligo","RIPRSVZ",19.7559927087371
"Oligo","RIPRSVZ",6.1911181514587
"Oligo","RIPRSVZ",14.8913991692258
"Oligo","RIPRSVZ",31.5252265842663
"Oligo","RIPRSVZ",15.3208797743526
"Oligo","RIPRSVZ",24.6203500390633
"Oligo","RIPRSVZ",21.5309244499245
"Oligo","RIPRSVZ",34.1574306630298
"Oligo","RIPRSVZ",29.1846895245685
"Oligo","RIPRSVZ",8.97485031418756
"Oligo","RIPRSVZ",19.4178980595027
"Oligo","RIPRSVZ",26.9234962715778
"Oligo","RIPRSVZ",31.1571352294162
"Oligo","RIPRSVZ",40.6034037730602
"Oligo","RIPRSVZ",13.892660372316
"Oligo","RIPRSVZ",22.7649605203784
"Oligo","RIPRSVZ",23.6101138577792
"Oligo","RIPRSVZ",34.3690266974315
"Oligo","RIPRSVZ",34.2926534404275
"Oligo","RIPRSVZ",18.9324436023101
"Oligo","RIPRSVZ",19.1112804627802
"Oligo","RIPRSVZ",24.7459056631709
"Oligo","RIPRSVZ",19.4921943044891
"Oligo","RIPRSVZ",18.9312676234331
"Oligo","RIPRSVZ",13.8436335402574
"Oligo","RIPRSVZ",24.051285252681
"Oligo","RIPRSVZ",18.9079601906118
"Oligo","RIPRSVZ",11.0203755356901
"Oligo","RIPRSVZ",35.8781101927941
"Oligo","RIPRSVZ",37.1004793269741
"Oligo","RIPRSVZ",20.831015586285
"Oligo","RIPRSVZ",18.9477566671791
"Oligo","RIPRSVZ",27.3645162039893
"Oligo","RIPRSVZ",18.7086552058721
"Oligo","RIPRSVZ",22.0625390874837
"Oligo","RIPRSVZ",32.3724269793587
"Oligo","RIPRSVZ",20.5111004803434
"Oligo","RIPRSVZ",34.3437691883915
"Oligo","RIPRSVZ",11.1116459869632
"Oligo","RIPRSVZ",28.4160732997663
"Oligo","RIPRSVZ",24.3144885283024
"Oligo","RIPRSVZ",42.3511289536566
"Oligo","RIPRSVZ",19.1958930167594
"Oligo","RIPRSVZ",31.6923194754887
"Oligo","RIPRSVZ",33.9790224145909
"Oligo","RIPRSVZ",22.5319436749898
"Oligo","RIPRSVZ",26.8311401319723
"Oligo","RIPRSVZ",19.5217162778325
"Oligo","RIPRSVZ",29.0319373681506
"Oligo","RIPRSVZ",23.5252531573139
"Oligo","RIPRSVZ",15.2241410575573
"Oligo","RIPRSVZ",14.039973936962
"Oligo","RIPRSVZ",34.0302111450059
"Oligo","RIPRSVZ",34.2972178320691
"Oligo","RIPRSVZ",32.3446073427656
"Oligo","RIPRSVZ",36.3849061320265
"Oligo","RIPRSVZ",32.9969308275512
"Oligo","RIPRSVZ",8.75331042638992
"Oligo","RIPRSVZ",30.1679724862322
"Oligo","RIPRSVZ",25.1556370304288
"Oligo","RIPRSVZ",24.3303760647256
"Oligo","RIPRSVZ",27.2953834619718
"Oligo","RIPRSVZ",18.9429789228325
"Oligo","RIPRSVZ",19.283111623135
"Oligo","RIPRSVZ",28.4545006182959
"Oligo","RIPRSVZ",30.9183958160893
